rank,star,status,status_datetime,officer_id,trr_id
OFFICER,4502.0,,2016-04-12 11:53:00-05:00,23701,96449
SERGEANT,1543.0,,2016-04-13 12:02:00-05:00,3785,96449
LIEUTENANT,330.0,,2016-04-13 02:36:00-05:00,27736,96449
OFFICER,17679.0,,2016-04-12 11:49:00-05:00,29340,96450
SERGEANT,1543.0,,2016-04-12 11:50:00-05:00,3785,96450
LIEUTENANT,330.0,,2016-04-13 02:36:00-05:00,27736,96450
OFFICER,18637.0,,2016-04-13 02:31:00-05:00,23620,96451
SERGEANT,1029.0,,2016-04-13 02:40:00-05:00,12025,96451
LIEUTENANT,258.0,,2016-04-13 02:45:00-05:00,20818,96451
OFFICER,8277.0,,2016-04-13 01:38:00-05:00,12353,96453
SERGEANT,1974.0,,2016-04-13 01:39:00-05:00,9014,96453
LIEUTENANT,495.0,,2016-04-13 02:04:00-05:00,1097,96453
OFFICER,11321.0,,2016-04-13 06:24:00-05:00,4252,96454
SERGEANT,1433.0,,2016-04-13 06:26:00-05:00,32389,96454
LIEUTENANT,714.0,,2016-04-13 07:52:00-05:00,11061,96454
LIEUTENANT,537.0,,2016-04-13 09:25:00-05:00,21309,96462
CAPTAIN,93.0,,2016-04-13 09:26:00-05:00,6224,96462
CAPTAIN,93.0,,2016-04-13 09:41:00-05:00,6224,96462
OFFICER,3909.0,,2016-04-14 12:18:00-05:00,10152,96465
SERGEANT,1876.0,,2016-04-14 12:20:00-05:00,21229,96465
LIEUTENANT,228.0,,2016-04-14 01:55:00-05:00,30520,96465
OFFICER,11393.0,,2016-04-14 12:32:00-05:00,1804,96466
SERGEANT,1876.0,,2016-04-14 12:41:00-05:00,21229,96466
LIEUTENANT,228.0,,2016-04-14 01:59:00-05:00,30520,96466
OFFICER,11370.0,,2016-04-14 12:38:00-05:00,1194,96467
SERGEANT,1876.0,,2016-04-14 12:41:00-05:00,21229,96467
LIEUTENANT,228.0,,2016-04-14 01:58:00-05:00,30520,96467
OFFICER,4733.0,,2016-04-14 08:45:00-05:00,32194,96470
SERGEANT,1906.0,,2016-04-14 08:49:00-05:00,32336,96470
LIEUTENANT,556.0,,2016-04-14 08:56:00-05:00,24562,96470
OFFICER,14953.0,,2016-04-14 08:54:00-05:00,32400,96471
SERGEANT,1292.0,,2016-04-14 08:58:00-05:00,16427,96471
LIEUTENANT,471.0,,2016-04-14 09:42:00-05:00,5002,96471
OFFICER,11069.0,,2016-04-14 08:56:00-05:00,15230,96472
SERGEANT,1292.0,,2016-04-14 08:57:00-05:00,16427,96472
LIEUTENANT,471.0,,2016-04-14 09:37:00-05:00,5002,96472
OFFICER,9936.0,,2016-04-14 11:33:00-05:00,15456,96473
SERGEANT,1154.0,,2016-04-14 11:34:00-05:00,32423,96473
LIEUTENANT,199.0,,2016-04-15 12:00:00-05:00,14630,96473
OFFICER,11186.0,,2016-04-14 11:36:00-05:00,23494,96474
SERGEANT,1154.0,,2016-04-14 11:38:00-05:00,32423,96474
LIEUTENANT,743.0,,2016-04-16 07:34:00-05:00,13911,96474
OFFICER,10773.0,,2016-04-14 11:10:00-05:00,28367,96475
SERGEANT,2026.0,,2016-04-14 11:12:00-05:00,2189,96475
LIEUTENANT,224.0,,2016-04-15 12:23:00-05:00,21473,96475
OFFICER,16196.0,,2016-04-14 11:33:00-05:00,16130,96476
SERGEANT,1154.0,,2016-04-14 11:35:00-05:00,32423,96476
LIEUTENANT,199.0,,2016-04-14 11:53:00-05:00,14630,96476
OFFICER,17733.0,,2016-04-15 12:11:00-05:00,32408,96477
SERGEANT,1486.0,,2016-04-15 12:18:00-05:00,32067,96477
LIEUTENANT,199.0,,2016-04-15 02:02:00-05:00,14630,96477
OFFICER,5882.0,,2016-04-15 12:49:00-05:00,32122,96478
